time,binary,sig_0,sig_1,sig_2,sig_3,sig_4,sig_5,sig_6,sig_7,sig_8,sig_9,sig_10
45,0,-0.474209537,1.007422913,-0.021718649,0.013973205,0.479497536,0.377885285,0.395513178,0.408208187,-0.360258772,1.300568413,-0.003644157
46,0,-0.204047296,1.027269069,0.024108379,0.005130712,0.542891359,0.585039141,0.567980053,0.553428719,-0.074836762,0.816832712,0.038428334
47,1,0.280124391,0.929806726,-0.048161893,-0.028889517,0.921789072,0.697051079,4.074285227,4.018888132,0.252237641,1.242588419,0.018856825
48,0,-0.113119007,0.973409808,0.016969283,0.047598846,0.747650013,0.746772778,0.716969807,0.840246434,0.115427434,0.917889287,-0.02815246
49,0,-0.484262494,0.904313773,0.010179388,-0.119607245,0.459644739,0.335720232,1.729424731,1.691065776,-0.594181744,1.213272441,-0.042143583
50,0,0.152004068,1.024308788,0.013428063,0.035517859,1.652507383,1.522515669,2.010569334,2.603671445,0.242007205,1.006331046,0.051027875
51,1,0.152459596,1.058616363,0.021613829,0.015029894,2.985712668,2.218265574,0.961166327,1.105208457,0.120788643,1.118661663,0.000294235
52,1,-0.174820062,0.9223755,0.00115147,0.01377685,1.929379638,1.934729586,0.521570816,0.54906614,-0.294531172,0.78145653,-0.020336034
53,0,-0.55140929,0.958827957,0.054677908,-0.002298793,0.356133513,0.398980045,0.727548096,0.481273511,-0.657471905,0.909633202,-0.009890149
54,0,0.713147039,0.834056842,0.003685262,0.013659451,3.738445823,3.858046448,0.609171843,0.625308414,0.791033685,1.392773002,0.054253975
55,0,-0.23392267,1.026662118,0.059831636,-0.009342717,0.338543047,0.265606196,0.468923466,-0.055104665,0.055042829,1.055596669,0.004350672
56,0,-0.453189482,1.027857488,0.056362339,-0.010835176,0.13313174,0.112437355,0.683014841,0.175444895,-0.63978741,0.943293054,-0.021469234
57,0,0.329166575,1.079037127,0.049080647,-0.047017803,2.26585197,1.794750382,2.032444836,1.738510587,0.226269369,1.051127005,0.005689476
58,1,0.523537189,0.845327795,0.016233681,0.014741312,1.770477664,1.980903987,2.207569346,2.627548144,0.583135514,1.036005206,0.053254328
59,1,0.105354271,1.063998284,-0.052008716,-0.05529407,0.701876133,0.843327598,1.293476379,1.182951831,-0.18689849,0.9636724,0.020027112
60,0,-0.213574287,1.147980574,0.034223073,0.003887839,0.365904412,0.459609653,0.789773598,0.547315827,-0.29639201,1.030554987,0.0447228
61,0,-0.1168767,0.994107662,0.024079042,-0.018492631,0.682026276,0.504183016,0.987007878,0.930160596,-0.203851325,0.848117933,-0.040684145
62,0,-0.333905536,0.975353823,-0.060641914,0.010363744,0.410871519,0.332649285,0.72475606,0.356437927,-0.54727415,1.042348807,0.023506842
63,0,0.325383886,1.015205338,-0.07163516,-0.007327444,0.253619416,0.234368208,0.60067511,0.283616912,0.173047977,1.432274366,0.034710795
64,0,-0.002850799,0.964228191,0.013006827,0.388328442,1.8436768,1.380096086,0.636357188,0.89986217,0.244431389,1.028135555,0.019821449
65,0,-0.016127795,0.970581974,0.052703643,0.028190913,0.919162386,0.908269182,0.779600323,0.739863933,0.035880243,1.014321176,0.008555617
66,1,0.845776777,0.949812363,0.04022729,-0.042417293,0.91957677,0.733653416,1.371127932,1.447957057,0.828188572,0.956991095,0.010906191
67,1,0.609021996,0.877775769,0.023919138,0.009692926,0.342792381,0.403302946,0.658159327,1.4362301,0.701624583,1.279765876,-0.005539722
68,0,0.479068819,1.069950226,0.042211955,0.002987585,0.970064223,1.103314108,0.736746083,0.558505895,0.397114293,0.965662021,-0.053183473
69,0,-0.209637397,0.885808013,-0.006775846,-0.038644395,1.588903947,1.647147186,0.516292316,0.616965507,0.188551637,0.98467383,0.006758846
70,0,-0.45990571,1.004264126,0.066000428,-0.003284858,1.15927912,1.170637956,0.77807827,0.795494912,-0.502249713,0.704753416,-0.031427784
71,0,0.227845215,0.887771291,-0.006482637,0.148165859,4.067513844,3.71630221,0.850699324,0.674822019,-0.113022594,0.884895285,0.076362337
72,0,0.407740813,0.843095002,-0.020586039,-0.045113671,0.266768021,0.131617944,1.142363094,1.262454831,0.52717746,1.172543853,-0.008599761
73,0,0.164418824,1.003739348,-0.044673321,-0.009126376,0.876422355,0.756265397,0.442911634,0.629776,0.334137381,0.847794854,-0.046500272
74,0,0.064823293,1.033640679,0.008120917,0.274955603,3.088093482,3.185702835,1.144359476,1.154373827,0.412828258,1.036430289,-0.01644102
75,1,-0.31227302,1.147978168,-0.025707619,0.043284094,0.416821223,0.568315812,1.108725615,1.082660884,-0.268066409,0.949480959,0.026106488
76,1,0.305966679,1.006843174,0.0199431,0.003522137,2.517450007,2.066612929,0.532058704,0.763273999,0.130732618,0.885579247,0.008831256
77,0,0.006085931,0.947425093,-0.064994588,-0.020383906,3.695910786,1.24555582,1.109980387,1.481555554,-0.007586982,0.762539676,0.020423797
78,0,0.532910579,1.224193188,0.018084293,0.008749656,0.768832262,0.856721958,3.497713178,3.593893424,0.691639852,1.043771302,0.06937363
79,0,-0.702405489,0.975803287,0.084864953,0.002314153,0.296372499,0.233965752,0.442846038,0.332052747,-0.791662329,0.84489715,0.032910232
80,0,-0.421204735,1.061387929,0.005481417,-0.058466062,0.151654252,0.159027389,0.404372094,0.455418427,-0.412312794,0.992554983,0.031370445
81,0,-0.005306116,0.959304233,-0.018505386,-0.09507835,5.979173032,7.200367463,0.490806998,0.447643404,-0.066927515,0.879534475,-0.038187773
82,0,0.264247162,1.208903885,-0.05397591,-0.01383407,1.967057815,1.531876353,1.943006316,2.255617779,0.141876236,0.864009229,0.008250254
83,0,-0.65001323,1.024801381,-0.037289255,-0.025978386,0.632904878,0.563812765,0.377106462,0.444392146,-0.587060518,1.049237531,0.009355326
84,0,-0.306785353,1.055601964,-0.032027489,0.006563712,2.428563886,2.20083977,0.558577395,0.312006175,-0.257965354,0.656305464,0.054559178
85,0,-0.054877854,1.011708319,0.031380453,-0.029029221,0.134224887,0.119209982,1.053154446,1.727397408,-0.047772511,1.385712983,-0.017752553
86,0,0.125372899,0.906182984,0.004586771,-0.048342622,1.261592447,1.655402911,0.602643182,0.756138819,0.048847494,0.778627743,0.029065412
87,0,0.173272295,1.051162441,-0.004594046,0.021041593,1.225090393,1.106866668,1.517225468,1.638653218,0.367617077,0.637387348,0.059699733
88,0,-0.145445197,0.881995721,0.061512301,-0.049826008,1.655919846,1.986639133,0.970483533,0.980096475,-0.344230959,0.971105616,0.002023572
89,0,0.319796923,0.915171598,-0.009755024,-0.028167771,11.25536368,13.59566911,0.897992334,1.093303419,0.020408353,0.919907046,-0.050457376
90,0,-0.229170597,0.951354766,-0.032734952,-0.005509816,0.373292113,0.292207362,1.468874268,1.296372246,-0.511158252,0.911549386,-0.001856875
91,0,0.257412847,1.00349148,-0.018469579,0.034111089,0.997969168,0.989843914,0.852762608,0.82474991,-0.161078637,1.102621294,-0.009362883
92,0,0.174966739,0.976196834,0.030426194,-0.018952937,2.089535664,2.678578354,1.180620348,1.459108963,0.091212404,0.759418547,0.029736323
93,0,-0.639219241,1.061408123,0.010587055,-1.98449155,0.613765639,0.549310308,0.347402787,0.455165739,-0.813765841,1.072646542,-0.015275129
94,0,0.48603257,1.033616643,-0.055102264,0.047491453,7.278294302,9.177221687,1.496233997,1.762787558,-0.052346832,1.296203248,0.003947491
95,0,-0.252849753,0.994005154,0.035512197,0.047183634,4.08276905,4.067004711,0.27472426,0.138153804,-0.241253668,1.003352114,0.01626188
96,1,-0.055785491,1.022584501,-0.071762163,0.007205669,6.023756305,6.018748743,0.994618205,1.241646632,-0.015383253,1.281542804,-0.01469907
97,1,0.796921733,0.913907877,0.020986024,-0.033766381,0.931308085,0.951104934,2.082784238,1.969694715,0.613952488,0.846336773,0.012166987
98,0,-0.508228482,1.049471053,-0.071220556,0.002761594,0.952037534,0.78695783,1.398341967,1.196966775,-0.650741195,1.064315252,-0.01439552
99,0,0.257790526,0.994337091,-0.054462421,-0.248440545,2.192829362,2.423359271,2.256748831,2.508389523,0.30119258,1.392511355,0.012574049
100,0,-0.48275489,0.994627836,-0.000794455,-0.32906679,1.26255585,1.630613926,0.464934412,0.357022126,-0.296693657,0.829338871,-0.056372053
101,0,-0.667952056,0.990572437,-0.040088736,-0.007903658,0.547136282,0.241299663,0.249336448,0.217660122,-0.599566935,0.74680044,-0.057746822
102,0,-0.697904974,0.939938521,0.055149131,-0.005395322,0.077051071,0.132847153,0.612873889,0.843629295,-0.214264603,1.271661072,-0.013307633
103,0,0.206147175,1.086528299,-0.080706307,0.008987202,0.564511414,0.576744933,1.252358338,1.19486767,0.408346357,1.161212214,0.014676758
104,1,-0.23806486,1.118473788,-0.007821287,-0.01529515,0.480965401,0.690178971,0.651994271,0.39224137,-0.201279743,1.068740815,-0.021704056
105,0,-0.247676226,1.154588942,0.024376668,-0.005146866,0.536413581,0.787210625,1.073288987,1.1149493,-0.413912563,1.083444971,0.004910236
106,0,0.325293352,0.962947844,0.03010498,0.018658383,0.778349396,0.905504527,3.281069317,2.79545998,0.588241083,1.12110291,-0.009789903
107,0,0.016472058,1.191505676,0.004038829,-0.248968274,0.83066769,0.838587587,2.01591448,2.357421773,0.17753442,1.026623976,0.01489431
108,0,-0.058087424,0.951034909,0.042833153,-0.427617121,0.454961198,0.400265058,0.457962978,-0.12398034,0.035072657,0.639766841,0.051252257
109,0,0.671774038,1.003347518,-0.006835932,0.014854082,0.402476932,0.439952634,1.422696559,1.187315589,0.875736201,0.851447727,0.031959732
110,0,0.02631084,0.962094679,-0.048148415,0.008814285,0.60678308,0.484174141,1.998123931,2.022406956,-0.150066301,1.343047866,-0.002107165
111,1,-0.627657139,0.840784819,0.05342914,-0.319740631,0.785902065,0.52886189,0.353322258,0.435642623,-0.680363002,0.869108328,-0.003382758
112,0,0.178845251,0.933866236,-0.025096842,0.076902913,0.841009321,0.565067869,1.925644731,1.872794842,0.254161299,0.680410475,0.037455404
113,0,0.268165869,0.909057852,0.024928034,0.008275456,0.677379518,0.644832828,2.407568079,2.758133495,-0.286676387,1.133938908,0.024652957
114,0,-0.280551428,1.045758412,0.000586114,0.003452089,0.500607626,0.602247828,1.332360871,1.143149003,-0.752320778,1.387583387,0.022724842
115,1,0.20795597,1.047441215,-0.020694557,0.053473853,0.905457931,1.227003302,1.147299672,1.245316035,-0.147772637,1.074745262,-0.041475
116,1,0.379693699,0.856411775,0.020975088,-0.003935157,1.26858184,1.477476674,1.533956489,1.543820622,0.272216705,0.545887833,-0.00801155
117,0,-0.715874114,0.909245872,-0.04730275,0.084306624,2.204798732,2.331994151,0.43380004,-0.006682755,-0.526230142,0.83961065,0.019499453
118,0,0.653839379,0.833777962,-0.042640041,-0.013742765,5.868865606,6.89584257,1.756420898,1.672730789,0.543042256,0.72690869,0.040894017
119,0,0.571219805,0.894195543,0.012814139,0.02393847,1.413898346,1.217527211,1.284618509,1.531589845,1.043234903,1.042756398,-0.028985961
120,0,-0.163413351,1.052275132,-0.115590901,0.013281812,0.266539511,0.392784355,1.324887117,0.935956352,-0.137075955,1.18470775,-0.010313295
121,0,0.330055293,0.814900284,0.002817569,0.023010681,1.290526074,0.963922378,2.577569244,2.89005418,0.645477137,0.76233855,0.038540857
122,1,0.027608668,1.139701036,-0.0842193,-0.02355189,2.823798844,3.147524439,1.188752009,1.359793554,0.143260643,1.072533314,0.001485787
123,0,0.044290241,1.241877251,-0.024874208,-0.254390283,0.206939146,0.238385016,0.654426254,0.820844225,0.168173375,0.984312399,0.00742535
124,0,-0.447960462,0.922534642,-0.026799109,0.287623776,0.470904716,0.480897784,0.273730626,0.409822264,-0.224479418,1.013786435,0.019817021
125,0,-0.481658018,0.801362474,-0.027360866,0.008757873,0.165265935,0.129288518,0.788948103,0.890326982,-0.354624127,0.978493623,0.018210126
126,0,-0.110908293,1.237688873,0.005545041,-0.027133516,0.902147515,0.963444284,1.479425358,1.932675863,-0.115522214,1.51121359,0.061547291
127,0,0.271783607,1.056735572,0.046092487,0.051576102,1.320933088,1.830864414,1.285350744,1.396739984,0.023495723,1.144078693,-0.001874436
128,0,-0.72925743,0.965772651,-0.053709818,-0.000382936,0.065741603,0.056601769,0.652321702,0.623190575,-0.640557299,0.885294152,0.006945593
129,0,0.040540997,0.880129963,0.00544392,0.002221635,2.904217582,3.295457638,0.407792463,0.538948191,0.322674584,1.042499713,-0.003997979
130,0,0.693363886,0.964702835,0.011862232,0.001724969,7.277275672,6.823451408,2.636004384,2.683591168,0.46109961,0.970294404,-0.019635097
131,0,0.102265936,0.945981912,0.004937516,-0.015928457,2.52072901,2.245106711,1.066469303,1.155071604,0.36766071,0.963647375,-0.005418145
132,0,0.0670457,0.981311341,-0.023755308,0.012905183,2.315114714,1.767907792,0.37337751,0.577520218,-0.087788377,0.744475683,-0.013809945
133,1,-0.055481104,1.01723381,-0.016006399,0.513072951,0.339905967,0.286304106,0.577260155,0.138035188,0.331462129,0.986128109,0.014508816
134,0,-0.309483972,1.069184813,-0.055254689,0.021715444,0.672842626,0.529329117,0.714459199,1.33360311,-0.003551076,1.042673259,0.02600302
135,0,0.722824105,1.151669584,0.004237356,0.021864552,2.223919238,1.962845034,0.761280128,0.40667265,0.589245005,1.002372765,0.023628169
136,1,-0.254110041,0.841576697,-0.048904063,-0.002356826,0.737658322,0.7483118,0.478617821,0.446164327,-0.168627287,1.3321703,-0.028302452
137,1,0.032262046,0.91367348,-0.023957917,0.000592412,1.080797187,1.037284874,1.998519489,2.310785774,0.222901821,1.634872527,0.040622662
138,1,0.494164602,0.906860233,-0.060916757,-0.003576254,0.372867353,0.415447102,1.199638567,1.120221835,0.967753691,0.723020565,-0.013639216
139,1,-0.263258008,1.121484019,0.025004713,-0.015232146,0.694242077,0.793235786,1.115074133,1.431312469,-0.267158653,0.762149652,0.028629375
140,0,-0.067323842,0.961204056,0.051250932,0.010293852,0.485643622,0.451467361,1.747389348,1.753354338,-0.252836826,1.337939898,-0.001409209
141,0,0.570112888,0.998761313,0.018148588,0.070807342,4.868840321,4.991951227,2.935192498,2.617819528,0.648005439,1.552604054,-0.025686297
142,0,0.224115844,0.985474943,0.000301521,-0.016885232,0.399195196,0.530531095,1.672871394,1.522194864,0.01788031,1.077574398,0.052999844
143,0,0.511300597,1.06863186,0.038891132,0.005764842,0.095138965,0.076401755,1.244097573,0.933750179,0.693809064,0.981115688,0.075175423
144,0,0.158785822,0.925501384,-0.018584541,0.017512651,0.874945923,0.967647608,0.75950396,0.653865542,0.204578971,0.863798573,0.012688823
145,0,0.07271685,0.879109469,0.146236989,-0.021569258,0.499957515,0.429409529,1.00321311,0.678872648,-0.119430042,1.046330389,-0.000121565
146,1,-0.434721779,0.945160739,0.027954356,0.072888218,1.71741204,1.510917009,0.457864979,0.929179809,-0.561350272,0.916550556,-0.001612022
147,1,0.275550606,1.126475556,-0.055753273,-0.034009032,1.103331583,0.755154119,1.155945636,1.093144536,0.200031168,1.099322722,0.033530212
148,0,0.124571011,1.068911728,-0.014626312,-0.030666671,16.5065512,14.06509444,2.272831248,2.357870562,0.003347105,0.959726502,-0.001081108
149,0,0.255887421,0.999714805,0.006173704,0.014019,6.619381734,5.627214667,2.182583125,2.151159854,0.096059444,0.846929059,0.026722333
150,0,0.188978888,1.087485659,-0.034108665,-0.025837024,0.794735595,0.99000088,1.112662628,0.921802383,0.424000931,0.743960022,0.014934423
151,0,-0.291869795,1.0360217,0.035978469,-0.044138745,1.862998516,2.104994028,0.695194261,0.392938296,-0.382286237,0.849395682,0.018745681
152,0,-0.163221461,0.921897429,-0.002048763,0.031350738,1.226691513,0.960975176,0.655776177,0.482948821,0.712818744,0.922317874,-0.004452249
153,0,-0.101109442,1.085109897,0.017893405,0.048654741,1.680472803,1.61529989,0.66758117,1.131310999,0.212376794,0.875841204,-0.047149182
154,0,0.125018002,0.937609674,0.009349026,-0.001479675,4.311509158,4.271775588,1.599693896,0.965328982,-0.131145446,1.064644137,-0.015167728
155,0,-0.45258007,0.884983786,0.037934236,-0.017650156,0.211236333,0.159433148,0.684909485,0.508283565,-0.448088498,1.194415397,0.029356645
156,0,-0.021267222,0.918906047,0.065575321,-0.076710584,2.060405724,2.085766737,1.342926907,1.026485278,0.358343878,1.178052336,-0.000514598
157,0,-0.528049039,0.870406986,0.019677147,0.019934216,1.912089199,2.110335183,0.840444702,0.800046653,-0.268696832,1.131197759,0.061677607
158,1,0.371108482,0.982719062,0.016312007,-0.024844758,1.11966339,0.966409842,1.266693157,1.071491484,0.245292897,1.557520699,0.012096423
159,0,-0.131145429,0.860834147,0.035381994,-0.015256874,3.787278863,3.339175342,0.673456993,1.016283042,-0.367455012,0.937827675,0.022054749
160,0,0.27910957,0.748074343,-0.036732985,0.010142718,1.235878808,1.340133115,1.390716663,1.366358888,0.212181461,0.777906928,0.023911862
161,0,-0.592520581,0.844945565,0.038074658,0.005481265,0.099567683,0.071598495,0.273009388,0.406004651,-0.174389378,0.963285929,-0.00212935
162,0,-0.06087108,0.916206105,0.06032073,-0.000235995,0.372195484,0.319205457,0.613617298,0.547964333,-0.253253509,0.952684198,0.031015973
163,0,0.434876051,0.865128994,0.039412405,0.044064694,1.951707666,2.329798813,1.560619245,1.05821863,0.27282998,1.629289166,-0.015532724
164,0,0.16933822,1.168944021,-0.057096181,-0.060689849,0.29419145,0.26092966,1.300185195,1.277428273,0.485145767,0.918532786,0.01508882
165,0,-0.115947167,0.960807232,-0.028597061,0.069626664,0.653985658,0.59311196,1.415118372,1.026203678,0.071695984,1.513650654,0.028034871
166,0,-0.829166528,0.868181704,0.063482784,0.00056489,0.867110619,0.945387971,0.180270056,0.195779755,-0.569587579,0.941512477,0.019160648
167,0,-0.022083706,1.011084962,0.027568298,-0.04038344,0.051318867,0.023354897,0.963566161,0.677318487,-0.033965536,0.753742877,0.012797065
168,0,-0.252532783,0.980504726,-0.021028383,-0.011680312,1.278712466,1.525305542,0.899720273,0.600946659,0.200606286,1.040940872,0.014505996
169,0,-0.517574474,1.165530301,0.015784166,0.004363966,0.064154417,0.092083038,0.832393841,0.408133931,-0.449141171,1.258571685,0.023590717
170,1,-0.181662007,0.981725488,0.034540761,-0.062976703,1.610023223,1.743100435,0.641063394,0.503791264,0.370034007,1.199373855,-0.000376755
171,1,-0.635872571,0.93575467,0.07941473,0.018886992,0.422157513,0.424192107,0.527521436,0.729879478,-0.44175604,0.977686652,0.018377823
172,1,0.037608268,1.017914703,-0.011273703,0.017253814,0.471780251,0.438073457,1.157682677,0.771727442,0.095185015,1.124840554,0.01796459
173,0,0.512139138,0.877054143,-0.053476246,0.000430116,1.000242349,1.084444792,0.576491671,0.853638184,0.493538883,0.98032925,0.073555794
174,0,-0.193381789,1.022467825,0.063343509,-0.011855911,1.951561339,1.59983537,0.625599943,0.505423485,0.063707082,0.907643311,-0.014734205
175,0,0.629933521,1.045124654,0.040954103,0.000660941,0.354570702,0.375091848,2.437477339,2.344597718,0.224511652,1.062973144,-0.009055168
176,0,0.240367453,1.088063369,0.025567268,-0.046125012,2.408193537,2.396662871,1.548593713,1.732528614,0.512149524,1.467499716,0.036737343
177,0,0.052272488,0.915903791,0.054795154,0.006303568,0.359053501,0.386835425,1.538489447,1.710303239,-0.071455612,0.914645448,0.018376902
178,0,0.103642153,0.831302797,0.005460377,-0.012649806,0.485625808,0.475472179,1.111235474,0.780095594,-0.078017949,1.020385767,0.025614762
179,0,0.203544882,1.173441345,0.075896401,0.040785116,0.608498001,0.670372049,1.235165778,1.584256281,-0.052178251,1.416844332,0.080424556
180,0,-0.348164054,1.052197168,-0.021972836,-0.001754194,1.361760455,1.183093205,0.88344959,1.091160118,-0.220914633,1.794624586,0.007524728
181,0,-0.241385405,1.046230842,-0.014105354,-0.024855892,0.781056509,0.787890327,1.103884037,1.116395502,0.029437315,1.264752545,0.008882353
182,0,0.463406483,1.032731125,-0.003418434,1.717642919,0.60157012,0.717201497,3.773949987,3.793273338,0.875108944,0.898379015,-0.000261238
183,1,0.193164808,1.096044786,0.0005702,0.001230502,1.046319648,1.256012792,1.365055907,1.449999744,0.057880991,1.04579471,-0.002494569
184,1,0.094726572,0.865371538,0.015197367,0.092440555,1.671532176,2.13206321,0.688775324,0.754069507,0.002226695,1.461434074,0.043901931
185,1,-0.114970251,1.155198289,0.039120677,-0.052974707,1.432298163,1.065057339,2.224713676,2.486082265,-0.146511868,0.816471242,0.014969709
186,0,0.293248597,1.067522828,-0.06477818,0.017056852,0.475402467,0.497489432,0.784243394,1.094103618,0.378673861,1.436463116,-0.031778562
187,0,0.006391965,1.16096776,-0.041675021,-0.026171149,0.387874569,0.323508496,0.688169218,0.681565543,-0.136368311,1.218578653,-0.010071627
188,1,0.206234241,0.992724046,-0.018873982,-0.013259467,1.408936413,1.144384875,1.337185406,1.182054929,0.524945262,1.002517436,0.030104932
189,0,-0.651218891,1.102649661,-0.021027528,-0.02850048,0.883506052,0.89940059,0.260613717,0.033245926,-0.717004671,0.940870188,0.00307466
190,0,-0.439153911,1.073440612,0.031326901,0.057153707,2.236719269,1.664186531,1.273948243,0.865595684,-0.657468113,1.56448183,0.047413404
191,0,0.301705622,0.873456774,-0.006541381,-0.028291552,0.905367106,0.613896675,1.263824169,1.544426453,0.139951659,1.064891006,0.009221182
